id,year,super_project,category,allowance,title
2021M690747,2022,中国博士后科技基金面上资助,第69批博士后基金,8万元,基于多尺度数据的新冠病毒多毒株模型研究
52105325,2022,国家自然科学基金资助项目,青年科技基金项目,30万元,锂离子电池电极涂布成形的多孔多组分微结构演化机理与性能一致性影响机制
2021GDASYL-20210103091,2021,广东省科学院建设国内一流研究机构行动专项资金项目,“千名博士（后）计划”引进专项（0103）,54万元,动力锂离子电池极片双面涂布干燥的流场特性分析与优化设计
2020-440000-02160100-8583,2021,广东省农业科研项目和农业技术推广项目,省级乡村振兴战略专项-农业科技创新及推广项目,135万元,省级高标准果园建设与示范项目
skjcx054,2021,揭阳市科技计划项目,重点项目,50万元,耐高压长寿命的高性能微电机设计及其制备工艺的优化研究
skjcx031,2021,揭阳市科技计划项目,重点项目,50万元,低噪高可靠持续气道正压通气系统研究与应用
2021GDASYL-20210103089,2021,广东省科学院建设国内一流研究机构行动专项资金项目,“千名博士（后）计划”引进专项（0105）,54万元,基于CT图像与偏微分方程模型的患者肺部病变预判算法研究
210719155863876,2021,广东省科技专项资金项目,2021年广东省科技专项资金（“大专项+任务清单”）,80万元,全自动高速正负压热塑成型生产线的研发
2021GDASYL-20210103090,2021,广东省科学院建设国内一流研究机构行动专项资金项目,“千名博士（后）计划”引进专项（0104）,54万元,基于行为识别的人工操作质量控制方法研究
202007040007,2020,广州科技计划项目,人工智能重大科技专项,500万元,智慧养老健康大数据人工智能服务平台研发及应用示范
202002020063,2020,广州科技计划项目,民生科技项目,100万元,农用无人机山地果园农药减施增效关键技术研发与应用示范
2020GDASYL-20200302015,2020,研究所绩效考核引导专项（0302）,广东省科学院建设国内一流研究机构行动专项资金项目,130万元,复杂环境下行人目标跨场景追踪关键技术与系统研发
2020ST016,2020,广东省科技专项资金项目,项目重大科技专项,80万元,面向光学膜行业的高精密PET基材成型装备关键技术研究及产业化应用
2019GDASYL-0502007,2019,广东省科学院建设国内一流研究机构行动专项资金项目,对接国家重点实验室、国家工程技术研究中心平台专项（0502）,100万元,面向未来制造的数控共性关键技术与系统研发
2020ST005,2019,广东省科技专项资金项目,项目重大科技专项,80万元,基于工业物联网的柔性包装生产线的研发及应用
